?cls	?def	?xrefs
<https://w3id.org/pmd/co/PMD_0050042>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000575>	"die Komponente einer angewandten Normalspannung, welche in Phase mit der Normaldehnung ist, geteilt durch die Dehnung"@de	
<http://purl.obolibrary.org/obo/CHEBI_49828>	"A lanthanoid atom that has formula Pr."	
<https://w3id.org/pmd/co/PMD_0050151>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000600>		
<http://purl.obolibrary.org/obo/CHEBI_33367>	"A nickel group element atom that has formula Ds."	
<https://w3id.org/pmd/co/PMD_0000805>		
<https://w3id.org/pmd/co/PMD_0000057>		
<http://purl.obolibrary.org/obo/CHEBI_49631>	"A metallic element predicted as eka-aluminium by Mendeleev in 1870 and discovered by Paul-Emile Lecoq de Boisbaudran in 1875. Named in honour of France (Latin Gallia) and perhaps also from the Latin gallus cock, a translation of Lecoq."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000372>	"Verteilen eines oder mehrerer Bestandteile in Kautschuk, Kautschukblends oder einer kontinuierlichen Phase durch Anwendung von Scherkräften, um optimale und homogene Eigenschaften zu erhalten"@de	
<https://w3id.org/pmd/co/PMD_0000829>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000221>	"Unprocessed data obtained from spectrometric devices"@en	
<https://w3id.org/pmd/co/PMD_0000914>		
<https://w3id.org/pmd/co/PMD_0020063>		
<https://w3id.org/pmd/co/PMD_0050000>		
<https://w3id.org/pmd/co/PMD_0050024>		
<http://purl.obolibrary.org/obo/NCIT_C65109>	"Measurement of the properties of light, especially luminous intensity."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000381>	"machine with temperature controls containing one or more rotors operating in a closed cavity used to masticate and/or to incorporate and disperse compounding ingredients into the rubber"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000583>	"Rheometertyp, bei welchem die auf die Kautschukmischung einwirkenden Kräfte durch eine in der Testprobe eingebettete schwingende Scheibe erzeugt werden, wobei sich die Probe unter Druck in einem abgedichteten Probenaufnehmer befindet"@de	
<https://w3id.org/pmd/co/PMD_0050089>		
<https://w3id.org/pmd/co/PMD_0050065>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000623>		
<https://w3id.org/pmd/co/PMD_0050041>		
<https://w3id.org/pmd/co/PMD_0020087>		
<https://w3id.org/pmd/co/PMD_0050150>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000025>	"\"Bundle adjustment [...] is a method for the simultaneous numerical fit of an unlimited number of spatially distributed images (bundles of rays). It makes use of photogrammetric observations (measured image points), survey observations and an object coordinate system. Using tie points, single images are merged into a global model in which the object surface can be reconstructed in three dimensions.\" (Luhmann et al. 2020: 349f.)"@en	
<http://purl.obolibrary.org/obo/NCIT_C48834>	"The degree to which two or more quantities or events are linearly associated, a statistical relation between two or more variables such that systematic changes in the value of one variable are accompanied by systematic changes in the others."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000213>	"Laser induced breakdown spectroscopy is a type of atomic emission spectroscopy which uses a highly energetic laser pulse as the excitation source. The laser is focused to form a plasma, which atomizes and excites samples. The Emission of these excited species is analyzed to identify and quantify the elements contained in the sample."@en	
<http://purl.obolibrary.org/obo/CHEBI_33832>	"Any organic molecule that consists of atoms connected in the form of a ring."@en	
<http://purl.obolibrary.org/obo/CHEBI_22563>	"A monoatomic or polyatomic species having one or more elementary charges of the electron."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000299>	"The letter “S” is used for channel blacks or for furnace blacks that have been modified to effectively reduce the curing rate of rubber."@en	
<https://w3id.org/pmd/co/PMD_0000519>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000083>	"Control variable that specifies at which temperature mixing takes place."@en	
<http://purl.obolibrary.org/obo/CHEBI_26216>	"An alkali metal atom that has formula K."	
<https://w3id.org/pmd/co/PMD_0000955>		
<https://w3id.org/pmd/co/PMD_0000604>		
<http://purl.obolibrary.org/obo/CHEBI_33582>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000080>	"Validate some data."@en	
<https://w3id.org/pmd/co/PMD_0000979>		
<https://w3id.org/pmd/co/PMD_0000628>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000342>	"cylinder forming a major, rotating member of a calender or mill"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000488>	"Zustand der Vulkanisation unterhalb des Vulkanisationsoptimums"@de	
<https://w3id.org/pmd/co/PMD_0020064>		
<https://w3id.org/pmd/co/PMD_0000931>		
<https://w3id.org/pmd/co/PMD_0020040>		
<https://w3id.org/pmd/co/PMD_0000822>		
<http://purl.obolibrary.org/obo/CHEBI_33382>	"A d-block element atom that has formula Lu."	
<http://purl.obolibrary.org/obo/CHEBI_33364>	"A nickel group element atom that has formula Pt."	
<https://w3id.org/pmd/co/PMD_0050001>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000485>	"type of vulcanization during which the modulus of the vulcanizate proceeds to a maximum and then remains essentially constant for a substantial period at the vulcanization temperature"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000429>	"that part of an extruder through which material is forced, forming a profile of the extrudate"@en	
<https://w3id.org/pmd/co/PMD_0050025>		
<http://purl.obolibrary.org/obo/CHEBI_33392>	"An actinoid atom that has formula Cf."	
<http://purl.obolibrary.org/obo/BFO_0000026>		
<https://w3id.org/pmd/co/PMD_0001013>		
<https://w3id.org/pmd/co/PMD_0050088>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000486>	"Vulkanisationsbedingungen, die notwendig sind, um einen akzeptablen Kompromiss zwischen verschiedenen gewünschten Vulkanisateigenschaften zu erzielen bzw. den optimalen Wert für eine bestimmte Eigenschaft zu erhalten"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000602>		
<https://w3id.org/pmd/co/PMD_0050064>		
<http://purl.obolibrary.org/obo/CHEBI_33247>	"Any substituent group or skeleton containing carbon."@en	
<https://w3id.org/pmd/co/PMD_0020088>		
<https://w3id.org/pmd/co/PMD_0050040>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000576>	"that component of an applied shear stress which is in quadrature (90° out of phase) with the shear strain, divided by the strain"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000506>	"An assay with the objective to produce information about the density of the material entity that is the evaluant, by physically examining it or its proxies."@en	
<http://nmrML.org/nmrCV#NMR:1000457>	"tempdef: A sample is a role that is played by an object of interest in an investigation used to obtain generalizable information about the sample source. defprov: Daniel Schober"@en	
<https://w3id.org/pmd/co/PMD_0050026>		
<https://w3id.org/pmd/co/PMD_0000629>		
<http://purl.obolibrary.org/obo/NCIT_C111096>	"An assessment used to quantify and describe the colors within the visible spectrum of light."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000305>	"hydrocarbon oil derived from petroleum or other sources and used as an extender or processing aid"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000222>	"Result of different mathematical processes conducted on raw Spectra. Processing steps include, e.g., normalization and baseline correction."@en	
<http://purl.obolibrary.org/obo/CHEBI_30512>	"A copper group element atom that has formula Ag."	
<http://purl.obolibrary.org/obo/IAO_0000027>	"An information content entity that is intended to be a truthful statement about something (modulo, e.g., measurement precision or other systematic errors) and is constructed/acquired by a method which reliably tends to produce (approximately) truthful statements."@en	
<https://w3id.org/pmd/co/PMD_0000823>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000372>	"Distribution of one or more ingredients into a rubber, a rubber blend or a continuum material, by the application of shearing forces, in order to confer optimum and uniform properties"@en	
<https://w3id.org/pmd/co/PMD_0000956>		
<https://w3id.org/pmd/co/PMD_0000847>		
<https://w3id.org/pmd/co/PMD_0000605>		
<http://purl.obolibrary.org/obo/CHEBI_23116>	"A halogen that has formula Cl."	
<https://w3id.org/pmd/co/PMD_0020041>		
<http://purl.obolibrary.org/obo/NCIT_C68426>	"A saturated long-chain fatty acid with an 18-carbon backbone. Stearic acid is found in various animal and plant fats, and is a major component of cocoa butter and shea butter."@en	
<http://purl.obolibrary.org/obo/CHEBI_27363>	"A zinc group element atom that has formula Zn."	
<https://w3id.org/pmd/co/PMD_0020150>		
<https://w3id.org/pmd/co/PMD_0000932>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000640>	"Scaling spectra in order to get all data on approximately the same scale."@en	
<https://w3id.org/pmd/co/PMD_0050002>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000486>	"condition of vulcanization required to achieve an acceptable compromise among a number of desired vulcanizate properties or the optimum value of a selected property"@en	
<http://purl.obolibrary.org/obo/IAO_0000037>	"A dot plot is a report graph which is a graphical representation of data where each data point is represented by a single dot placed on coordinates corresponding to data point values in particular dimensions."@en	
<http://purl.obolibrary.org/obo/BFO_0000001>		
<http://purl.obolibrary.org/obo/CHEBI_33363>	"Chemical element (nickel group element atom) with atomic number 46."	
<https://w3id.org/pmd/co/PMD_0050087>		
<https://w3id.org/pmd/co/PMD_0020089>		
<https://w3id.org/pmd/co/PMD_0050063>		
<https://w3id.org/pmd/co/PMD_0020065>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000145>	"A composite particle, comprising of strongly bound or fused smaller particles, where the resulting external surface area may be significantly smaller than the sum of calculated surface areas of the individual components."@en	
<http://purl.obolibrary.org/obo/CHEBI_50812>		
<http://purl.obolibrary.org/obo/CHEBI_30513>	"A pnictogen that has formula Sb."	
<http://purl.obolibrary.org/obo/CHEBI_30687>	"An iron group element atom that has formula Os."	
<https://w3id.org/pmd/co/PMD_0000051>		
<http://purl.obolibrary.org/obo/CHEBI_33521>	"An atom of an element that exhibits typical metallic properties, being typically shiny, with high electrical and thermal conductivity."	
<https://w3id.org/pmd/co/PMD_0050027>		
<https://www.tib.eu/digitrubber#http://purl.obolibrary.org/obo/NCIT_C25206>	"A measure of the average kinetic energy of a system of particles. Temperature may be quantified, in the context of thermodynamics, as the potential of one system to transfer thermal energy to another system until both systems reach a state of thermal equilibrium."@en	
<http://purl.obolibrary.org/obo/BFO_0000002>	"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts."@en	
<https://w3id.org/pmd/co/PMD_0000933>		
<https://w3id.org/pmd/co/PMD_0000957>		
<https://w3id.org/pmd/co/PMD_0000606>		
<https://w3id.org/pmd/co/PMD_0000848>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000283>	"Kleinste erkennbare sphärische oder beinahe sphärische materielle Einheit, die als solche einzeln existieren kann"@de	
<https://w3id.org/pmd/co/PMD_0020151>		
<https://w3id.org/pmd/co/PMD_0020042>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000371>	"Prozess der Überführung von Kautschuk oder einer Kautschukmischung, Gummilösung oder koaguliertem Latex in eine Form, bei der die Dicke klein gegenüber der Länge ist"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000190>	"A graph that shows the intensity of radiation at different wavelengths or the response of the atomic or molecular system to different wavelengths of the radiation"@en	
<https://w3id.org/pmd/co/PMD_0000800>		
<https://w3id.org/pmd/co/PMD_0001011>		
<http://purl.obolibrary.org/obo/BFO_0000028>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000489>	"one or more items taken from a lot and intended to provide information on the lot and possibly to serve as a basis for a decision on the lot or on the process which had produced it"@en	
<http://purl.obolibrary.org/obo/CHEBI_30441>	"A carbon group element atom that has formula Ge."	
<https://w3id.org/pmd/co/PMD_0050003>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000019>	"The standard deviation is a measure of the amount of variation or dispersion of a set of values. [Wikipedia]"@en	
<http://purl.obolibrary.org/obo/OBI_0002076>	"A material entity that has two or more specimens as its parts."@en	
<https://www.tib.eu/digitrubber#http://purl.obolibrary.org/obo/NCIT_C42575>	"An indication of the type of unit of measure being used to express a mass density."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000291>	"Kautschuk mit einer gesättigten Kohlenstoffkette vom Polymethylen-Typ"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000565>	"The ratio of the dynamic viscosity (μ) over the density of the fluid (ρ), which is noted as (length)^2/time. https://en.wikipedia.org/wiki/Viscosity#Kinematic_viscosity"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000427>	"A cylindrical or rod-shaped material object located in the pin zone of an extruder that enhances shearing and homogenization of polymer material."@en	
<https://w3id.org/pmd/co/PMD_0050086>		
<http://purl.obolibrary.org/obo/IAO_0000416>	"A scalar measurement datum that is the result of measuring a temporal interval"@en	
<https://w3id.org/pmd/co/PMD_0050062>		
<https://w3id.org/pmd/co/PMD_0020066>		
<http://purl.obolibrary.org/obo/CHEBI_33322>	"An alkali metal atom that has formula Rb."	
<https://w3id.org/pmd/co/PMD_0050004>		
<https://w3id.org/pmd/co/PMD_0000849>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000596>	"A measurement protocol for reliably reproducing the molecular weight distribution measurement assay."@en	
<https://w3id.org/pmd/co/PMD_0000607>		
<https://w3id.org/pmd/co/PMD_0050028>		
<https://w3id.org/pmd/co/PMD_0000801>		
<https://w3id.org/pmd/co/PMD_0000934>		
<http://purl.obolibrary.org/obo/NCIT_C48367>	"The smallest resolvable rectangular area of an image, either on a screen or stored in memory."@en	
<https://w3id.org/pmd/co/PMD_0000825>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000202>	"A quality of a substance in terms of its amount per unit volume in a mixture."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000422>	"Product of one mixing operation"@en	
<https://w3id.org/pmd/co/PMD_0050061>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000281>	"Group of interlocked aggregates that are easily separated by normal rubber processing"@en	
<https://w3id.org/pmd/co/PMD_0020152>		
<http://purl.obolibrary.org/obo/CHEBI_26833>	"A chalcogen that has formula S."	
<https://w3id.org/pmd/co/PMD_0000910>		
<http://purl.obolibrary.org/obo/BFO_0000027>		
<https://w3id.org/pmd/co/PMD_0001010>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000302>	"compounding ingredient used in small proportions to reduce the viscosity of an unvulcanized rubber mix or the hardness of a vulcanizate"@en	
<https://w3id.org/pmd/co/PMD_0020067>		
<http://purl.obolibrary.org/obo/IAO_0000003>	"A measurement unit label is as a label that is part of a scalar measurement datum and denotes a unit of measure."@en	
<http://purl.obolibrary.org/obo/OBI_0100051>	"A material entity that has the specimen role."@en	
<https://w3id.org/pmd/co/PMD_0020043>		
<https://w3id.org/pmd/co/PMD_0050085>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000333>	"compounding ingredient used to reduce the tendency of a rubber compound to vulcanize prematurely"@en	
<http://purl.obolibrary.org/obo/BFO_0000040>	"An independent continuant that is spatially extended whose identity is independent of that of other entities and can be maintained through time."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000196>	"An attenuated total reflection accessory operates by measuring the changes that occur in a totally internally reflected infrared beam when the beam comes into contact with a sample."@en	
<http://purl.obolibrary.org/obo/IAO_0000409>	"A denotator type indicates how a term should be interpreted from an ontological perspective."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000603>		
<https://w3id.org/pmd/co/PMD_0000053>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000216>	"In Spectroscopy, peaks are features of a spectrum. A peak comprise a restricted region of a spectrum, which is absorbed or emitted with high intensity. It is defined as a local maximum in the spectrum."@en	
<https://w3id.org/pmd/co/PMD_0000002>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000595>	"A concentration measurement protocol for reliably reproducing the ethylidene norbornene concentration measurement assay."@en	
<https://w3id.org/pmd/co/PMD_0050017>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000180>	"Material that is required to manipulate the properties of rubber products. Constitutes an entity sub-group of the raw material entity."@en	
<https://w3id.org/pmd/co/PMD_0000907>		
<http://purl.obolibrary.org/obo/UO_0000003>		
<http://purl.obolibrary.org/obo/CHEBI_33302>	"A p-block molecular entity containing any pnictogen."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000579>	"ratio of the viscous modulus to the elastic modulus"@en	
<https://w3id.org/pmd/co/PMD_0050060>		
<http://purl.obolibrary.org/obo/BFO_0000006>		
<https://w3id.org/pmd/co/PMD_0000595>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000456>		
<http://purl.obolibrary.org/obo/NCIT_C43359>	"Any number of entities (members) considered as a unit."@en	
<https://w3id.org/pmd/co/PMD_0001005>		
<https://w3id.org/pmd/co/PMD_0000571>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000578>	"measure of stiffness under specified conditions of deformation"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000323>		
<http://purl.obolibrary.org/obo/CHEBI_38101>	"Any organonitrogen compound containing a cyclic component with nitrogen and at least one other element as ring member atoms."@en	
<https://w3id.org/pmd/co/PMD_0050084>		
<http://purl.obolibrary.org/obo/OBI_0000648>	"A data set that is produced as the output of a class discovery data transformation and consists of a data set with assigned discovered class labels."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000482>	"Druckkessel, der zur Vulkanisation von Kautschuk in Dampf oder Gas genutzt wird"@de	
<https://w3id.org/pmd/co/PMD_0000908>		
<http://purl.obolibrary.org/obo/CHEBI_33471>	"A bivalent group formed by removing two hydrogen atoms from a hydrocarbon, the free valencies of which are not engaged in a double bond."@en	
<http://purl.obolibrary.org/obo/OBI_0000112>	"A role borne by a material entity that is obtained during a specimen collection process and that can be realized by performing measurements or observations on the specimen."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000064>	"Online optimization is the adjustment of process parameters in the running process for process optimization."@en	
<https://w3id.org/pmd/co/PMD_0050018>		
<https://w3id.org/pmd/co/PMD_0050083>		
<http://purl.obolibrary.org/obo/CHEBI_38179>		
<http://purl.obolibrary.org/obo/CHEBI_5686>	"A cyclic compound having as ring members atoms of at least two different elements."	
<https://w3id.org/pmd/co/PMD_0000596>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000177>	"An elastic material obtained from the latex sap of trees. Constitutes an entity sub-group of the raw material entity."@en	
<http://purl.obolibrary.org/obo/BFO_0000029>		
<https://w3id.org/pmd/co/PMD_0001004>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000588>		
<https://w3id.org/pmd/co/PMD_0000790>		
<https://w3id.org/pmd/co/PMD_0000572>		
<http://purl.obolibrary.org/obo/CHEBI_32999>	"A lanthanoid atom that has formula Eu."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000455>		
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000025>	"A method in which the polymer is loaded with (pseudo-) linear, oscillating deformations in a temperature ramp, during which the values of G’ and G” at 3 critical temperatures are read and used ."@en	
<http://purl.obolibrary.org/obo/BFO_0000015>	"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])"@en	
<http://purl.obolibrary.org/obo/CHEBI_25696>	"Any organic ion with a net negative charge."@en	
<https://w3id.org/pmd/co/PMD_0000909>		
<http://purl.obolibrary.org/obo/UO_0000016>	"\"A length unit which is equal to one thousandth of a meter or 10^[-3] m.\" [NIST:NIST]"@en	
<http://purl.obolibrary.org/obo/CHEBI_18291>	"A manganese group element atom that has formula Mn."	
<http://purl.obolibrary.org/obo/PATO_0001739>	"A quality that inheres in an bearer by virtue of how that bearer interacts with radiation."@en	
<https://w3id.org/pmd/co/PMD_0050019>		
<http://purl.obolibrary.org/obo/OBI_0000749>	"A CART (classification and regression trees) is a data transformation method for producing a classification or regression model with a tree-based structure."@en	
<https://w3id.org/pmd/co/PMD_0050082>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000477>	"chemische Bindung oder Atom(e), die zwei Kautschukketten oder zwei Teile derselben Kette verbinden als Ergebnis der Vulkanisation"@de	
<http://purl.obolibrary.org/obo/IAO_0000308>	"An information content entity consisting of a two dimensional arrangement of information content entities such that the arrangement itself is about something."@en	
<http://purl.obolibrary.org/obo/CHEBI_33415>		"CAS:82600-58-6 CAS:7440-44-0 Gmelin:8868"
<https://w3id.org/pmd/co/PMD_0000573>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000289>	"natural or synthetic rubber, usually in bales or packages, forming the starting material for the manufacture of rubber products"@en	
<https://w3id.org/pmd/co/PMD_0020090>		
<http://purl.obolibrary.org/obo/BFO_0000008>		
<https://w3id.org/pmd/co/PMD_0000597>		
<https://w3id.org/pmd/co/PMD_0000791>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000458>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000430>	"Produkt eines Extrusionsprozesses"@de	
<https://w3id.org/pmd/co/PMD_0001003>		
<http://purl.obolibrary.org/obo/BFO_0000202>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000569>	"Die Säurezahl ist eine chemische Größe zur Charakterisierung von sauren Bestandteilen in Fetten oder Ölen. Sie bezeichnet die Masse an Kaliumhydroxid (in mg), die notwendig ist, um die in 1 g Fett enthaltenen freien Fettsäuren zu neutralisieren."@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000543>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000431>	"Teil eines Extruders, welcher die Schablone mit Halterung enthält"@de	
<http://purl.obolibrary.org/obo/OBI_0000245>	"An entity that can bear roles, has members, and has a set of organization rules. Members of organizations are either organizations themselves or individual people. Members can bear specific organization member roles that are determined in the organization rules. The organization rules also determine how decisions are made on behalf of the organization by the organization members."@en	
<http://purl.obolibrary.org/obo/NCIT_C154897>	"A class of substances that binds to, activates and increases the activity of a target."@en	
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000010>	"Compound after being vulcanized. May also be called “vulcanizate”."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000331>	"Kombination aus Vulkanisationsmittel und, falls erforderlich, Beschleunigern, Aktivatoren, Verzögerern, etc., die verwendet wird, um die gewünschte Vulkanisationscharakteristik und Vulkanisateigenschaften herzustellen"@de	
<https://w3id.org/pmd/co/PMD_0000005>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000312>	"Trade name for a specific zinc oxide"@en	
<http://purl.obolibrary.org/obo/CHEBI_22927>	"A halogen that has formula Br."	
<https://w3id.org/pmd/co/PMD_0050081>		
<http://purl.obolibrary.org/obo/PATO_0000122>	"A 1-dimensional extent quality which is equal to the distance between two points."@en	
<https://w3id.org/pmd/co/PMD_0000574>		
<https://w3id.org/pmd/co/PMD_0000598>		
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000021>	"Torque at t=5 min. after the start of the Mooney test."@en	
<https://w3id.org/pmd/co/PMD_0020091>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000566>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000324>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000457>		
<https://w3id.org/pmd/co/PMD_0000550>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000342>	"Zylinder, der ein rotierendes Hauptelement eines Kalanders oder eines Walzwerks bildet"@de	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000380>	"A mechanical component designed to blend materials."@en	
<https://w3id.org/pmd/co/PMD_0000927>		
<http://purl.obolibrary.org/obo/BFO_0000017>	"A specifically dependent continuant  that inheres in continuant  entities and are not exhibited in full at every time in which it inheres in an entity or group of entities. The exhibition or actualization of a realizable entity is a particular manifestation, functioning or process that occurs under certain circumstances."@en	
<https://w3id.org/pmd/co/PMD_0000818>		
<http://purl.obolibrary.org/obo/OBI_0000835>	"A person or organization that has a manufacturer role."@en	
<https://w3id.org/pmd/co/PMD_0000903>		
<https://w3id.org/pmd/co/PMD_0050080>		
<https://w3id.org/pmd/co/PMD_0020092>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000412>		
<http://purl.obolibrary.org/obo/CHEBI_60004>	"A mixture is a chemical substance composed of multiple molecules, at least two of which are of a different kind."@en	
<https://w3id.org/pmd/co/PMD_0000591>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000545>		
<http://purl.obolibrary.org/obo/CHEBI_32594>	"An alkaline earth metal atom that has formula Ba."	
<http://purl.obolibrary.org/obo/CHEBI_30145>	"An alkali metal atom that has formula Li."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000436>		
<https://w3id.org/pmd/co/PMD_0001009>		
<http://purl.enanomapper.org/onto/ENM_9000001>	"A collection of weakly bound particles or aggregates where the resulting surface area is similar to the sum of the surface areas of the individual components."@en	
<http://purl.obolibrary.org/obo/CHEBI_30514>	"An alkali metal atom that has formula Cs."	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000081>	"Rolling is the second of the three areas of the extrusion line. Where the material is homogenised."@en	
<http://purl.obolibrary.org/obo/OBI_0200171>	"A partitioning data transformation is a data transformation that has objective partitioning."@en	
<http://purl.obolibrary.org/obo/PATO_0001291>	"A physical quality that inheres in an bearer by virtue of how that bearer interacts with electromagnetic radiation."@en	
<https://w3id.org/pmd/co/PMD_0000904>		
<https://w3id.org/pmd/co/PMD_0000928>		
<https://w3id.org/pmd/co/PMD_0000819>		
<http://purl.obolibrary.org/obo/BFO_0000009>		
<http://purl.obolibrary.org/obo/BFO_0000203>		
<https://w3id.org/pmd/co/PMD_0020093>		
<https://w3id.org/pmd/co/PMD_0000592>		
<https://www.tib.eu/digitrubber#DIGITRUBBER_000133>	"Designated administrator over one or more groups/teams working to produce a resource, or over one or more steps of a development process"@en	
<http://purl.obolibrary.org/obo/OBI_0000953>	"A specimen that has been intentionally physically modified."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000290>	"rubber produced by non-biologically polymerizing one or more monomers"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000326>		
<https://w3id.org/pmd/co/PMD_0001008>		
<http://purl.obolibrary.org/obo/CHEBI_33394>	"An actinoid atom that has formula Fm."	
<https://www.materials.fraunhofer.de/ontologies/BWMD_ontology/mid#BWMD_00298>	"The quantity kind concentration"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000431>	"that part of an extruder which houses the die and die holder"@en	
<http://purl.obolibrary.org/obo/BFO_0000031>	"b is a generically dependent continuant = Def. b is a continuant that g-depends_on one or more other entities. (axiom label in BFO2 Reference: [074-001])"@en	
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000015>	"A filler that, together with silane, is present only in tread compounds and is used for enforcement."@en	
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000011>	"The process of converting a polymer compound into an elastic network using vulcanization chemicals (e.g. sulfur) and heat (to start the reaction)."@en	
<http://purl.obolibrary.org/obo/NCIT_C55826>	"A substance added to plastics or other materials to make or keep them soft or pliable."@en	
<https://w3id.org/pmd/co/PMD_0000905>		
<http://purl.obolibrary.org/obo/CHEBI_25699>		
<https://w3id.org/pmd/co/PMD_0000929>		
<http://purl.obolibrary.org/obo/IAO_0000178>	"A material entity in which a concretization of an information content entity inheres."@en	
<https://w3id.org/pmd/co/PMD_0020094>		
<http://purl.obolibrary.org/obo/NCIT_C25677>	"The spatial arrangement of something as distinct from its substance."@en	
<https://w3id.org/pmd/co/PMD_0020070>		
<http://purl.obolibrary.org/obo/digitrubber/digitrubber-full.owl/DIGITRUBBER_1000002>	"The method used to obtain the value of Mw and Mn."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000306>	"compounding ingredient which improves the processability of a rubber compound or mix"@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000027>	"An active power or cause (as principle, substance, physical or biological factor, etc.) that produces a specific effect."@en	
<https://www.tib.eu/digitrubber#DIGITRUBBER_000414>		
